code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
141,Dire,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
141,ድሬ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
142,Miyu,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
142,ሚዩ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
143,Teltele,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
143,ቴልቴል,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
144,Yabelo,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
144,ያቤሎ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
145,Dehas,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
145,ደሃሳ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
146,Arero,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
146,አረሮ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
147,Moyale,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
147,ሞያሌ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
148,Dillo,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
148,ዲሎ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
149,Guchi,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
149,ጉቺ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
150,Dubuluk,4,Woreda,BOR,eng,t,110011,2021-02-10 07:57:45.892058
150,ዱቡሉክ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 07:57:45.892058
151,Gomole,4,Woreda,BOR,eng,t,110011,2021-02-10 08:01:52.111203
151,ጎሞሌ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 08:01:52.111203
152,Wachile,4,Woreda,BOR,eng,t,110011,2021-02-10 08:01:52.111203
152,ዋችሌ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 08:01:52.111203
153,Elowaye,4,Woreda,BOR,eng,t,110011,2021-02-10 08:01:52.111203
153,ኢሎዋዬ,4,ወረዳ,BOR,amh,t,110011,2021-02-10 08:01:52.111203
154,Gimbichu,4,Woreda,ESH,eng,t,110011,2021-02-10 08:01:52.111203
154,ጊምቢቹ,4,ወረዳ,ESH,amh,t,110011,2021-02-10 08:01:52.111203
155,Bora,4,Woreda,ESH,eng,t,110011,2021-02-10 08:01:52.111203
